taxon,p-value,q-value
Bacteroides ovatus,0.29419595420507677,0.68621004500708
Phocaeicola vulgatus,0.2586090979173659,0.68621004500708
[Ruminococcus] torques,0.29614778531968405,0.68621004500708
Streptococcus parasanguinis,0.2737135277695062,0.68621004500708
Tractidigestivibacter scatoligenes,0.28575615010302596,0.68621004500708
Lactobacillus paragasseri,0.29388865720291096,0.68621004500708
Firmicutes bacterium CAG:110,0.27660975717100506,0.68621004500708
Enterocloster citroniae,0.2943516439941951,0.68621004500708
Aeriscardovia aeriphila,0.2716825338389627,0.68621004500708
Eubacterium sp. OM08-24,0.30203690041710324,0.6915055351654732
Eubacterium limosum,0.3074849532803302,0.691841144880743
Phocaeicola coprocola,0.305480573148028,0.691841144880743
Roseburia hominis,0.31318881037696394,0.6986519616101503
Actinomyces oris,0.3299174096737357,0.6987971699239985
Oscillibacter sp. 57_20,0.33372314247363294,0.6987971699239985
Paraprevotella clara,0.32820324596046835,0.6987971699239985
Eggerthella lenta,0.3252380207160641,0.6987971699239985
Victivallis vadensis,0.3296907493692905,0.6987971699239985
Clostridium sp. CAG:242,0.31718904921632274,0.6987971699239985
Bacteroides thetaiotaomicron,0.320118499074325,0.6987971699239985
Ruminococcus sp. CAG:403,0.33467297410153185,0.6987971699239985
Bifidobacterium pseudocatenulatum,0.345290672574801,0.7040692620470552
Christensenella hongkongensis,0.3425186999865077,0.7040692620470552
Lancefieldella parvula,0.3447579694022771,0.7040692620470552
[Bacteroides] pectinophilus,0.3555849633282327,0.7104075632391904
Megasphaera elsdenii,0.3514111211997428,0.7104075632391904
Streptococcus mitis,0.3592865837071768,0.7104075632391904
Roseburia inulinivorans,0.35688222445691803,0.7104075632391904
Eubacterium sp. CAG:274,0.36705382731401026,0.7149332009623632
Streptococcus gordonii,0.3667443968316606,0.7149332009623632
Bacteroides caccae,0.37604363354668074,0.7162112149151016
Rothia mucilaginosa,0.37875880404417095,0.7162112149151016
Parabacteroides johnsonii,0.3803396511669493,0.7162112149151016
Clostridium disporicum,0.3783621381482099,0.7162112149151016
Faecalicoccus pleomorphus,0.38352540594405604,0.7162112149151016
Methanobrevibacter smithii,0.3841745980387518,0.7162112149151016
Enterococcus durans,0.39569784338110614,0.726623274337056
Akkermansia muciniphila,0.39811160241455557,0.726623274337056
Alistipes finegoldii,0.39637546591072004,0.726623274337056
Parasutterella excrementihominis,0.4160436815687796,0.7341910871245987
Eisenbergiella massiliensis,0.4247618933172965,0.7341910871245987
Bacteroides finegoldii,0.40687207413399007,0.7341910871245987
Holdemania filiformis,0.42448489603812734,0.7341910871245987
Firmicutes bacterium CAG:95,0.41864472235902506,0.7341910871245987
Veillonella atypica,0.41666861177879055,0.7341910871245987
Actinomyces sp. oral taxon 448,0.4194326187863482,0.7341910871245987
Bacteroides eggerthii,0.41312013137386094,0.7341910871245987
Streptococcus vestibularis,0.44089130669513243,0.7570567832067734
Actinomyces sp. HPA0247,0.4451418408782236,0.7593596109099109
Gemella haemolysans,0.45122547677979574,0.7647392820748486
Actinomyces graevenitzii,0.46515293877204167,0.7683855507563473
Anaeromassilibacillus sp. An250,0.46149452488585263,0.7683855507563473
Clostridium bolteae CAG:59,0.46335297331568703,0.7683855507563473
[Eubacterium] brachy,0.45994721207809164,0.7683855507563473
Bacteroides faecis,0.46913583989210483,0.7700909069927003
Streptococcus sp. F0442,0.48553403646275906,0.7714827172958442
Anaerotruncus colihominis,0.4778858364271231,0.7714827172958442
Sellimonas intestinalis,0.4877189592100164,0.7714827172958442
[Eubacterium] siraeum,0.4857561810773231,0.7714827172958442
Faecalitalea cylindroides,0.4788325814383406,0.7714827172958442
Parabacteroides goldsteinii,0.48650717437548774,0.7714827172958442
[Clostridium] leptum,0.5070219967846087,0.7857261769524057
Allisonella histaminiformans,0.5117756708119117,0.7857261769524057
Streptococcus infantis,0.5088850753758913,0.7857261769524057
Bifidobacterium catenulatum,0.5061191577473301,0.7857261769524057
Hafnia alvei,0.5073164948624258,0.7857261769524057
Turicimonas muris,0.5186261278477258,0.7869849963270722
Adlercreutzia caecimuris,0.5180489048964116,0.7869849963270722
Blautia sp. CAG:257,0.5237839273602277,0.790217370179303
Rothia dentocariosa,0.5369371497877544,0.8009392201215337
Slackia isoflavoniconvertens,0.5370282127251663,0.8009392201215337
Phocaeicola dorei,0.5450084130166155,0.8082227033939582
Mogibacterium diversum,0.5572080310789773,0.8179028959956357
Bacteroides galacturonicus,0.5609372351847464,0.8179028959956357
Enterocloster aldenensis,0.5605571182067797,0.8179028959956357
Bifidobacterium dentium,0.5670868888318578,0.8222759888061937
Desulfovibrionaceae bacterium,0.5715221387177729,0.8241286088692747
Firmicutes bacterium CAG:238,0.5760893261582591,0.8261500776225584
Prevotella sp. CAG:1185,0.5807140265315937,0.8282314804630926
Clostridium paraputrificum,0.5961720693796942,0.8456571201527185
Oscillibacter sp. CAG:241,0.599444567215655,0.8457028759096538
